Player,Team,Bye,ESPN
Jonathan Taylor,IND,14,1
Austin Ekeler,LAC,8,3
Christian McCaffrey,CAR,13,2
Derrick Henry,TEN,6,4
Najee Harris,PIT,9,5
Dalvin Cook,MIN,7,6
Joe Mixon,CIN,10,8
D'Andre Swift,DET,6,9
Alvin Kamara,NO,14,7
Nick Chubb,CLE,9,14
Javonte Williams,DEN,9,12
Aaron Jones,GB,14,11
Leonard Fournette,TB,11,10
Saquon Barkley,NYG,9,15
Ezekiel Elliott,DAL,9,17
James Conner,ARI,13,13
David Montgomery,CHI,14,18
Cam Akers,LAR,7,16
Travis Etienne Jr.,JAC,11,21
Josh Jacobs,LV,6,22
Elijah Mitchell,SF,9,24
J.K. Dobbins,BAL,10,19
Breece Hall,NYJ,10,20
Antonio Gibson,WAS,14,23
Clyde Edwards-Helaire,KC,8,27
AJ Dillon,GB,14,32
Miles Sanders,PHI,7,26
Damien Harris,NE,10,31
Devin Singletary,BUF,7,25
Cordarrelle Patterson,ATL,14,29
Tony Pollard,DAL,9,30
Kareem Hunt,CLE,9,28
Rashaad Penny,SEA,11,35
Chase Edmonds,MIA,11,34
Rhamondre Stevenson,NE,10,33
Melvin Gordon III,DEN,9,40
Ken Walker III,SEA,11,39
Michael Carter,NYJ,10,41
James Robinson,JAC,11,37
James Cook,BUF,7,36
Dameon Pierce,HOU,6,38
Alexander Mattison,MIN,7,45
Darrell Henderson Jr.,LAR,7,49
Brian Robinson Jr.,WAS,14,48
Nyheim Hines,IND,14,42
Raheem Mostert,MIA,11,44
Kenneth Gainwell,PHI,7,50
J.D. McKissic,WAS,14,43
Jamaal Williams,DET,6,46
Marlon Mack,HOU,6,47
Isaiah Spiller,LAC,8,51
Khalil Herbert,CHI,14,55
Tyler Allgeier,ATL,14,53
Mark Ingram II,NO,14,54
Ronald Jones II,KC,8,
Isiah Pacheco,KC,8,52
Rachaad White,TB,11,
Kenyan Drake,,,
Myles Gaskin,MIA,11,
D'Onta Foreman,CAR,13,
Zamir White,LV,6,
Chuba Hubbard,CAR,13,
Darrel Williams,ARI,13,
Ameer Abdullah,LV,6,
Jerick McKinnon,KC,8,
D'Ernest Johnson,CLE,9,
Tyrion Davis-Price,SF,9,
Gus Edwards,BAL,10,
Sony Michel,MIA,11,
Boston Scott,PHI,7,
Jeff Wilson Jr.,SF,9,
Mike Davis,BAL,10,
Hassan Haskins,TEN,6,
Damien Williams,ATL,14,
Trey Sermon,SF,9,
Zack Moss,BUF,7,
Chris Evans,CIN,10,
Rex Burkhead,HOU,6,
Kyle Juszczyk,SF,9,
Dontrell Hilliard,TEN,6,
Keaontay Ingram,ARI,13,
Ke'Shawn Vaughn,TB,11,
Brandon Bolden,LV,6,
Matt Breida,NYG,9,
Eno Benjamin,ARI,13,
Samaje Perine,CIN,10,
J.J. Taylor,NE,10,
Tyler Badie,BAL,10,
Derrick Gore,,,
Phillip Lindsay,IND,14,
Joshua Kelley,LAC,8,
Abram Smith,NO,14,
Jaylen Warren,PIT,9,
Tony Jones Jr.,NO,14,
Jerome Ford,CLE,9,
Pierre Strong Jr.,NE,10,
Anthony McFarland Jr.,PIT,9,
Benny Snell Jr.,PIT,9,
Kyren Williams,LAR,7,
Duke Johnson Jr.,BUF,7,
Snoop Conner,JAC,11,
Jerrion Ealy,KC,8,
David Johnson,,,
Jake Funk,LAR,7,
Devontae Booker,,,
Devonta Freeman,,,
Jordan Howard,,,
Latavius Murray,,,
Wayne Gallman Jr.,,,
Jaret Patterson,WAS,14,
Giovani Bernard,TB,11,
Tevin Coleman,NYJ,10,
Ty Johnson,NYJ,10,
Raheem Blackshear,BUF,7,
DeeJay Dallas,SEA,11,
Qadree Ollison,ATL,14,
Ty Montgomery,NE,10,
Travis Homer,SEA,11,
Kene Nwangwu,MIN,7,
Justice Hill,BAL,10,
Jordan Mason,SF,9,
