"player","team","bye","ffb","espn"
"Christian McCaffrey","CAR",13,1,2
"Jonathan Taylor","IND",14,2,1
"Austin Ekeler","LAC",8,3,3
"Derrick Henry","TEN",6,4,4
"Dalvin Cook","MIN",7,5,6
"Alvin Kamara","NO",14,6,7
"Joe Mixon","CIN",10,7,8
"Najee Harris","PIT",9,8,5
"Ezekiel Elliott","DAL",9,9,17
"Aaron Jones","GB",14,10,11
"Leonard Fournette","TB",11,11,10
"D'Andre Swift","DET",6,12,9
"James Conner","ARI",13,13,13
"Nick Chubb","CLE",9,14,14
"Javonte Williams","DEN",9,15,12
"Saquon Barkley","NYG",9,16,15
"David Montgomery","CHI",14,17,18
"Josh Jacobs","LV",6,18,22
"Breece Hall","NYJ",10,19,20
"Cordarrelle Patterson","ATL",14,20,29
"Travis Etienne Jr.","JAX",11,21,21
"Chase Edmonds","MIA",11,22,34
"Cam Akers","LAR",7,23,16
"Elijah Mitchell","SF",9,24,24
"Clyde Edwards-Helaire","KC",8,25,27
"Kareem Hunt","CLE",9,26,28
"AJ Dillon","GB",14,27,32
"J.K. Dobbins","BAL",10,28,19
"Miles Sanders","PHI",7,29,26
"Damien Harris","NE",10,30,31
"Tony Pollard","DAL",9,31,30
"Antonio Gibson","WAS",14,32,23
"Devin Singletary","BUF",7,33,25
"Rashaad Penny","SEA",11,34,35
"Melvin Gordon III","DEN",9,35,40
"Rhamondre Stevenson","NE",10,36,33
"Dameon Pierce","HOU",6,37,38
"Darrell Henderson Jr.","LAR",7,39,49
"Jamaal Williams","DET",6,40,46
"J.D. McKissic","WAS",14,41,43
"Michael Carter","NYJ",10,42,41
"Rachaad White","TB",11,43,NULL
"Mark Ingram II","NO",14,44,54
"Kenneth Gainwell","PHI",7,45,50
"Nyheim Hines","IND",14,46,42
"Gus Edwards","BAL",10,47,NULL
"James Cook","BUF",7,48,36
"Eno Benjamin","ARI",13,49,NULL
"Damien Williams","ATL",14,51,NULL
"James Robinson","JAX",11,52,37
"Alexander Mattison","MIN",7,53,45
"Isaiah Spiller","LAC",8,54,51
"Khalil Herbert","CHI",14,55,55
"Raheem Mostert","MIA",11,56,44
"Rex Burkhead","HOU",6,57,NULL
"Matt Breida","NYG",9,58,NULL
"Jerick McKinnon","KC",8,59,NULL
"Tyler Allgeier","ATL",14,60,53
"Boston Scott","PHI",7,62,NULL
"Darrel Williams","ARI",13,63,NULL
"Marlon Mack","HOU",6,64,47
"Tyrion Davis-Price","SF",9,65,NULL
"Pierre Strong Jr.","NE",10,66,NULL
"Mike Davis","BAL",10,67,NULL
"Sony Michel","MIA",11,68,NULL
"Joshua Kelley","LAC",8,69,NULL
"Hassan Haskins","TEN",6,70,NULL
"Chris Evans","CIN",10,71,NULL
"Zamir White","LV",6,72,NULL
"Jeff Wilson Jr.","SF",9,73,NULL
"Trey Sermon","SF",9,74,NULL
"Benny Snell Jr.","PIT",9,75,NULL
"Tyler Badie","BAL",10,76,NULL
"Isiah Pacheco","KC",8,77,52
"D'Ernest Johnson","CLE",9,78,NULL
